team2,team1,notsure1,date,H_A_N1,points1,H_A_N2,points2,team1_name,team2_name,team1_madness,team2_madness
1,33,733436,2008-01-30,-1,69,1,53,BYU,Air_Force,1,0
1,33,733467,2008-03-01,1,76,-1,57,BYU,Air_Force,1,0
1,53,733374,2007-11-29,-1,60,1,50,Colorado,Air_Force,0,0
1,173,733369,2007-11-24,0,59,0,57,Montana,Air_Force,0,0
1,183,733379,2007-12-04,1,63,-1,52,N_Illinois,Air_Force,0,0
1,191,733425,2008-01-19,1,59,-1,44,New_Mexico,Air_Force,0,0
1,191,733457,2008-02-20,-1,68,1,51,New_Mexico,Air_Force,0,0
1,243,733443,2008-02-06,1,49,-1,38,San_Diego_St,Air_Force,0,0
1,303,733449,2008-02-12,1,58,-1,51,UNLV,Air_Force,1,0
1,307,733411,2008-01-05,1,58,-1,36,Utah,Air_Force,0,0
1,307,733446,2008-02-09,-1,67,1,59,Utah,Air_Force,0,0
1,325,733405,2007-12-30,1,78,-1,67,Wake_Forest,Air_Force,0,0
1,327,733370,2007-11-25,0,71,0,62,Washington_St,Air_Force,1,0
2,34,733432,2008-01-26,1,65,-1,64,C_Michigan,Akron,0,0
2,66,733408,2008-01-02,1,83,-1,81,Dayton,Akron,0,0
2,134,733429,2008-01-23,1,75,-1,69,Kent,Akron,1,0
2,134,733475,2008-03-09,-1,61,1,58,Kent,Akron,1,0
2,183,733449,2008-02-12,-1,88,1,78,N_Illinois,Akron,0,0
2,222,733362,2007-11-17,0,66,0,63,Portland_St,Akron,1,0
2,312,733460,2008-02-23,-1,57,1,52,VA_Commonwealth,Akron,0,0
2,322,733443,2008-02-06,1,86,-1,66,W_Michigan,Akron,0,0
2,334,733379,2007-12-04,1,68,-1,58,Winthrop,Akron,1,0
3,14,733419,2008-01-13,1,71,-1,67,Arkansas,Alabama,1,0
3,17,733461,2008-02-24,1,88,-1,76,Auburn,Alabama,0,0
3,21,733364,2007-11-19,-1,85,1,83,Belmont,Alabama,1,0
3,48,733407,2008-01-01,-1,87,1,61,Clemson,Alabama,1,0
3,88,733414,2008-01-08,-1,90,1,83,Florida,Alabama,0,0
3,99,733380,2007-12-05,0,70,0,60,Georgetown,Alabama,1,0
3,100,733422,2008-01-16,1,61,-1,54,Georgia,Alabama,1,0
3,135,733446,2008-02-09,1,62,-1,52,Kentucky,Alabama,1,0
3,150,733471,2008-03-05,1,80,-1,74,LSU,Alabama,0,0
3,167,733467,2008-03-01,1,91,-1,88,Mississippi,Alabama,0,0
