date_time,tournament_id,player1_name,player2_name,points1,points2
2013-04-20 02:41:14.272000+00:00,jq7eivdy,chesss4,dipo_a,0,1
2013-04-20 02:36:15.470000+00:00,jq7eivdy,FABIO_CASTRO,chesss4,0,1
2013-04-20 02:31:34.170000+00:00,jq7eivdy,dipo_a,FABIO_CASTRO,0,1
2013-04-20 02:27:36.371000+00:00,jq7eivdy,FABIO_CASTRO,Maklaud695,1,0
2013-04-20 02:27:27.671000+00:00,jq7eivdy,chesss4,Rapid,1,0
2013-04-20 02:22:55.070000+00:00,jq7eivdy,FABIO_CASTRO,dipo_a,1,0
2013-04-20 02:22:55.071000+00:00,jq7eivdy,chesss4,Maklaud695,1,0
2013-10-06 21:28:04.784000+00:00,820ck43e,german11,denden_gra,1,0
2013-10-06 21:27:33.414000+00:00,820ck43e,Bl1ts,BEN-ZONA,0,1
2013-10-06 21:22:25.975000+00:00,820ck43e,german11,Kingofthehill,0,1
2013-10-06 21:22:10.295000+00:00,820ck43e,Bl1ts,denden_gra,1,0
2013-10-06 21:19:36.575000+00:00,820ck43e,BEN-ZONA,Kingofthehill,1,0
2013-10-06 21:17:40.506000+00:00,820ck43e,Bl1ts,german11,1,0
2013-10-06 21:14:41.685000+00:00,820ck43e,denden_gra,Kingofthehill,0,1
2013-10-06 21:12:14.246000+00:00,820ck43e,Bl1ts,Kingofthehill,1,0
2013-10-06 21:12:14.246000+00:00,820ck43e,BEN-ZONA,german11,1,0
2013-10-05 19:11:35.519000+00:00,3bsfnhnc,Federico,okiboki,1,0
2013-10-05 19:08:24.759000+00:00,3bsfnhnc,okiboki,Yura,0,1
2013-10-05 19:06:01.687000+00:00,3bsfnhnc,okiboki,Federico,0,1
2013-10-05 19:02:53.908000+00:00,3bsfnhnc,Yura,okiboki,1,0
2013-10-05 18:57:32.007000+00:00,3bsfnhnc,Federico,Yura,0,1
2013-10-05 18:54:30.186000+00:00,3bsfnhnc,okiboki,Yura,0,1
2020-10-01 05:26:29.339000+00:00,yTusYeoT,moloch_bg,Elxam,0,1
2020-10-01 05:26:29.338000+00:00,yTusYeoT,Veguettatruchomal,IvankoLIS,1,0
2020-10-01 05:26:08.827000+00:00,yTusYeoT,SJCTharul,Veguettatruchomal,1,0
2020-10-01 05:25:50.318000+00:00,yTusYeoT,evgenkuz15051972,SergioGentili,0,1
2020-10-01 05:25:29.756000+00:00,yTusYeoT,germchang47,VALHALLA_RAGNAR,0,1
2020-10-01 05:25:29.756000+00:00,yTusYeoT,Kapungu,moloch_bg,1,0
2020-10-01 05:25:29.756000+00:00,yTusYeoT,Generalchex11,Chichi30,1,0
2020-10-01 05:25:29.756000+00:00,yTusYeoT,aviIsKing,failedCaptcha,1,0
2020-10-01 05:25:29.756000+00:00,yTusYeoT,krish_agg11,sangram_r_j,0,1
2020-10-01 05:25:07.044000+00:00,yTusYeoT,Don_Johnson,R_King,1,0
2020-10-01 05:25:07.044000+00:00,yTusYeoT,jaqueconmate,Dev2069,1,0
2020-10-01 05:25:07.044000+00:00,yTusYeoT,v2d2,EjGarcia,0,1
2020-10-01 05:25:07.044000+00:00,yTusYeoT,Arjungs,TobiasOfChess,1,0
2020-10-01 05:25:07.044000+00:00,yTusYeoT,doublemint,AliyevShohruzbek,1,0
2020-10-01 05:24:48.557000+00:00,yTusYeoT,sergeybasov1957,SJCTharul,1,0
2020-10-01 05:24:48.557000+00:00,yTusYeoT,Sachin9120,Generalchex11,0,1
2020-10-01 05:24:48.557000+00:00,yTusYeoT,white_horse22,Ramky742,0,1
2020-10-01 05:24:48.557000+00:00,yTusYeoT,BlindBox,gorarak,0,1
2020-10-01 05:24:48.557000+00:00,yTusYeoT,Nimzo678,afshinakbarzadeh,0,1
2020-10-01 05:24:48.557000+00:00,yTusYeoT,Mohammed_ahmed2020,IvankoLIS,1,0
2020-10-01 05:24:48.557000+00:00,yTusYeoT,elbab26,senidu,1,0
2020-10-01 05:24:30.017000+00:00,yTusYeoT,LoganRex,varghees,1,0
2020-10-01 05:24:30.017000+00:00,yTusYeoT,HOGOFOGO,horsejump,0,1
2020-10-01 05:24:30.016000+00:00,yTusYeoT,tsocu,subarux,1,0
2020-10-01 05:24:30.016000+00:00,yTusYeoT,King_Shaz,komronazam,0,1
2020-10-01 05:24:30.017000+00:00,yTusYeoT,Davronbekovkamron106,RodmanMVP,0,1
2020-10-01 05:24:30.016000+00:00,yTusYeoT,capedbaldly,Scamps92,1,0
2020-10-01 05:24:30.017000+00:00,yTusYeoT,adzz82,ElCaosReptante,0,1
2020-10-01 05:24:11.448000+00:00,yTusYeoT,Dilsaj,OPulence,1,0
2020-10-01 05:24:11.447000+00:00,yTusYeoT,SergioGentili,razali-ali,1,0
2020-10-01 05:24:11.448000+00:00,yTusYeoT,Istorik1708,a19v19b19,0,1
2020-10-01 05:24:11.448000+00:00,yTusYeoT,yugkhiani,aspele,1,0
2020-10-01 05:24:11.448000+00:00,yTusYeoT,norouzi,bhoomesh,1,0
2020-10-01 05:23:50.807000+00:00,yTusYeoT,EjGarcia,Don_Johnson,1,0
2020-10-01 05:23:50.807000+00:00,yTusYeoT,ChanceJCox,uplink2,0,1
2020-10-01 05:23:50.807000+00:00,yTusYeoT,ChristianEG,sakr1424,1,0
2020-10-01 05:23:50.807000+00:00,yTusYeoT,ajnoy,javiertafur,0,1
2020-10-01 05:23:50.808000+00:00,yTusYeoT,Pedri_Fati,Veguettatruchomal,0,1
2020-10-01 05:23:32.329000+00:00,yTusYeoT,iamssk,evgenkuz15051972,1,0
2020-10-01 05:23:32.329000+00:00,yTusYeoT,Adri2016,moloch_bg,1,0
2020-10-01 05:23:32.329000+00:00,yTusYeoT,a19v19b19,norouzi,1,0
2020-10-01 05:23:32.329000+00:00,yTusYeoT,germchang47,jaqueconmate,1,0
2020-10-01 05:23:11.766000+00:00,yTusYeoT,Chichi30,jeimov,1,0
2020-10-01 05:23:11.766000+00:00,yTusYeoT,Barlog,velvetthunder03,0,1
2020-10-01 05:22:51.192000+00:00,yTusYeoT,aviIsKing,miguel2120,0,1
2020-10-01 05:22:51.193000+00:00,yTusYeoT,sangram_r_j,Gauty2002,0,1
2020-10-01 05:22:51.193000+00:00,yTusYeoT,AliyevShohruzbek,R_King,1,0
2020-10-01 05:22:51.193000+00:00,yTusYeoT,IvankoLIS,SJCTharul,0,1
2020-10-01 05:22:51.192000+00:00,yTusYeoT,Dev2069,smels72,1,0
2020-10-01 05:22:51.192000+00:00,yTusYeoT,varghees,adzz82,0,1
2020-10-01 05:22:51.193000+00:00,yTusYeoT,OPulence,yugkhiani,1,0
2020-10-01 05:22:51.193000+00:00,yTusYeoT,VALHALLA_RAGNAR,Kapungu,0,1
2020-10-01 05:22:51.228000+00:00,yTusYeoT,doublemint,v2d2,1,0
2020-10-01 05:22:51.228000+00:00,yTusYeoT,failedCaptcha,krish_agg11,1,0
2020-10-01 05:22:30.628000+00:00,yTusYeoT,Mohammed_ahmed2020,sergeybasov1957,1,0
2020-10-01 05:22:30.628000+00:00,yTusYeoT,Sachin9120,gurkha-gamefowl,1,0
2020-10-01 05:22:30.629000+00:00,yTusYeoT,Generalchex11,elbab26,0,1
2020-10-01 05:22:30.628000+00:00,yTusYeoT,afshinakbarzadeh,BlindBox,1,0
2020-10-01 05:22:30.628000+00:00,yTusYeoT,komronazam,tsocu,1,0
2020-10-01 05:22:12.092000+00:00,yTusYeoT,TobiasOfChess,Z4ire,1,0
2020-10-01 05:22:12.092000+00:00,yTusYeoT,senidu,Arjungs,0,1
2020-10-01 05:22:12.092000+00:00,yTusYeoT,horsejump,LoganRex,0,1
2020-10-01 05:22:12.092000+00:00,yTusYeoT,RodmanMVP,King_Shaz,0,1
2020-10-01 05:22:12.092000+00:00,yTusYeoT,Ramky742,Nimzo678,1,0
2020-10-01 05:22:12.092000+00:00,yTusYeoT,Pedri_Fati,ChristianEG,1,0
2020-10-01 05:22:12.092000+00:00,yTusYeoT,Veguettatruchomal,Don_Johnson,0,1
2020-10-01 05:22:12.092000+00:00,yTusYeoT,Vk07,gorarak,0,1
2020-10-01 05:21:47.389000+00:00,yTusYeoT,razali-ali,aspele,1,0
2020-10-01 05:21:47.389000+00:00,yTusYeoT,ElCaosReptante,capedbaldly,0,0
2020-10-01 05:21:47.389000+00:00,yTusYeoT,Davronbekovkamron106,SergioGentili,1,0
2020-10-01 05:21:47.389000+00:00,yTusYeoT,v2d2,IvankoLIS,0,1
2020-10-01 05:21:47.389000+00:00,yTusYeoT,Dilsaj,Istorik1708,1,0
2020-10-01 05:21:47.389000+00:00,yTusYeoT,javiertafur,ChanceJCox,0,1
2020-10-01 05:21:47.389000+00:00,yTusYeoT,Abolfazl_Askare_1386,HOGOFOGO,0,1
2020-10-01 05:21:28.876000+00:00,yTusYeoT,yugkhiani,aviIsKing,0,1
2020-10-01 05:21:28.876000+00:00,yTusYeoT,moloch_bg,iamssk,0,1
2020-10-01 05:21:28.876000+00:00,yTusYeoT,Z4ire,Vk07,1,0
2020-10-01 05:21:28.876000+00:00,yTusYeoT,norouzi,germchang47,1,0
2020-10-01 05:21:28.876000+00:00,yTusYeoT,sakr1424,ajnoy,1,0
2020-10-01 05:21:28.876000+00:00,yTusYeoT,SJCTharul,doublemint,0,1
2020-10-01 05:21:28.876000+00:00,yTusYeoT,subarux,Scamps92,0,1
2020-10-01 05:21:10.319000+00:00,yTusYeoT,jaqueconmate,Sever35,0,1
2020-10-01 05:21:10.319000+00:00,yTusYeoT,Arjungs,horsejump,0,1
2020-10-01 05:21:10.319000+00:00,yTusYeoT,evgenkuz15051972,EjGarcia,1,0
2020-10-01 05:21:10.319000+00:00,yTusYeoT,uplink2,sergap75,1,0
2020-10-01 05:20:49.709000+00:00,yTusYeoT,iamssk,Sisir5678o,1,0
2020-10-01 05:20:49.709000+00:00,yTusYeoT,R_King,Nefetehli,1,0
2020-10-01 05:20:49.709000+00:00,yTusYeoT,aspele,Sparsh1234,1,0
2020-10-01 05:20:49.709000+00:00,yTusYeoT,Barlog,Chichi30,1,0
2020-10-01 05:20:49.709000+00:00,yTusYeoT,velvetthunder03,adzz82,1,0
2020-10-01 05:20:31.187000+00:00,yTusYeoT,sergeybasov1957,komronazam,0,1
2020-10-01 05:20:31.187000+00:00,yTusYeoT,a19v19b19,Adri2016,1,0
2020-10-01 05:20:31.187000+00:00,yTusYeoT,Dev2069,afshinakbarzadeh,1,0
2020-10-01 05:20:31.187000+00:00,yTusYeoT,Arghhhhhhhhhh,sangram_r_j,1,0
2020-10-01 05:20:31.187000+00:00,yTusYeoT,AliyevShohruzbek,varghees,1,0
2020-10-01 05:20:31.187000+00:00,yTusYeoT,miguel2120,jeimov,1,0
2020-10-01 05:20:10.574000+00:00,yTusYeoT,elbab26,Mohammed_ahmed2020,0,1
2020-10-01 05:20:10.575000+00:00,yTusYeoT,smels72,VALHALLA_RAGNAR,1,0
2020-10-01 05:20:10.574000+00:00,yTusYeoT,Nefetehli,Barlog,0,1
2020-10-01 05:20:10.575000+00:00,yTusYeoT,Gauty2002,failedCaptcha,0,0
2020-10-01 05:20:10.575000+00:00,yTusYeoT,King_Shaz,v2d2,1,0
2020-10-01 05:20:10.575000+00:00,yTusYeoT,krish_agg11,OPulence,0,1
2020-10-01 05:19:52.023000+00:00,yTusYeoT,gurkha-gamefowl,tsocu,0,1
2020-10-01 05:19:52.023000+00:00,yTusYeoT,aspele,iamssk,1,0
2020-10-01 05:19:52.023000+00:00,yTusYeoT,Ramky742,BlindBox,1,0
2020-10-01 05:19:52.023000+00:00,yTusYeoT,ChristianEG,senidu,1,0
2020-10-01 05:19:31.527000+00:00,yTusYeoT,IvankoLIS,Generalchex11,1,0
2020-10-01 05:19:31.526000+00:00,yTusYeoT,Veguettatruchomal,RodmanMVP,1,0
2020-10-01 05:19:31.527000+00:00,yTusYeoT,Nimzo678,TobiasOfChess,0,1
2020-10-01 05:19:31.527000+00:00,yTusYeoT,Don_Johnson,Pedri_Fati,0,0
2020-10-01 05:19:31.526000+00:00,yTusYeoT,ChanceJCox,razali-ali,0,1
2020-10-01 05:19:31.526000+00:00,yTusYeoT,LoganRex,Sachin9120,0,1
2020-10-01 05:19:06.841000+00:00,yTusYeoT,aviIsKing,subarux,0,1
2020-10-01 05:19:06.841000+00:00,yTusYeoT,capedbaldly,Dilsaj,1,0
2020-10-01 05:19:06.840000+00:00,yTusYeoT,SergioGentili,SJCTharul,0,1
2020-10-01 05:19:06.840000+00:00,yTusYeoT,doublemint,ElCaosReptante,1,0
2020-10-01 05:19:06.841000+00:00,yTusYeoT,ZINAIZMAGAZINA,Nimzo678,0,1
2020-10-01 05:19:06.841000+00:00,yTusYeoT,yugkhiani,sakr1424,1,0
2020-10-01 05:19:06.841000+00:00,yTusYeoT,moloch_bg,norouzi,1,0
2020-10-01 05:19:06.841000+00:00,yTusYeoT,anthony_113_29,sergeybasov1957,0,1
2020-10-01 05:19:06.841000+00:00,yTusYeoT,Istorik1708,javiertafur,1,0
2020-10-01 05:19:06.841000+00:00,yTusYeoT,pablobarby,Davronbekovkamron106,0,1
2020-10-01 05:18:48.398000+00:00,yTusYeoT,germchang47,Arjungs,0,1
2020-10-01 05:18:48.398000+00:00,yTusYeoT,sangram_r_j,varghees,0,1
2020-10-01 05:18:48.397000+00:00,yTusYeoT,uplink2,horsejump,1,0
2020-10-01 05:18:48.397000+00:00,yTusYeoT,Scamps92,ajnoy,1,0
2020-10-01 05:18:48.398000+00:00,yTusYeoT,sergap75,evgenkuz15051972,0,1
2020-10-01 05:18:27.803000+00:00,yTusYeoT,EjGarcia,jaqueconmate,1,0
2020-10-01 05:18:27.803000+00:00,yTusYeoT,norouzi,AlphaBravo_1,1,0
2020-10-01 05:18:27.803000+00:00,yTusYeoT,BlindBox,aspele,0,1
2020-10-01 05:18:27.803000+00:00,yTusYeoT,Z4ire,jon34,1,0
2020-10-01 05:18:09.217000+00:00,yTusYeoT,Barlog,King_Shaz,0,1
2020-10-01 05:18:09.217000+00:00,yTusYeoT,SergioGentili,anthony_113_29,1,0
2020-10-01 05:18:09.217000+00:00,yTusYeoT,aleks45,komronazam,0,1
2020-10-01 05:18:09.217000+00:00,yTusYeoT,Sparsh1234,velvetthunder03,0,1
2020-10-01 05:18:09.217000+00:00,yTusYeoT,R_King,adzz82,1,0
2020-10-01 05:18:09.217000+00:00,yTusYeoT,kindomsavage,Chichi30,0,1
2020-10-01 05:18:09.218000+00:00,yTusYeoT,afshinakbarzadeh,Arghhhhhhhhhh,0,1
2020-10-01 05:18:09.217000+00:00,yTusYeoT,TobiasOfChess,ZINAIZMAGAZINA,1,0
2020-10-01 05:18:09.218000+00:00,yTusYeoT,jeimov,Adri2016,1,0
2020-10-01 05:17:48.657000+00:00,yTusYeoT,VALHALLA_RAGNAR,Gauty2002,0,1
2020-10-01 05:17:48.657000+00:00,yTusYeoT,v2d2,elbab26,0,1
2020-10-01 05:17:48.658000+00:00,yTusYeoT,OPulence,Nefetehli,0,1
2020-10-01 05:17:48.657000+00:00,yTusYeoT,Mohammed_ahmed2020,a19v19b19,1,0
2020-10-01 05:17:48.658000+00:00,yTusYeoT,Sisir5678o,ChristianEG,0,1
2020-10-01 05:17:48.696000+00:00,yTusYeoT,failedCaptcha,smels72,1,0
2020-10-01 05:17:30.212000+00:00,yTusYeoT,miguel2120,AliyevShohruzbek,0,1
2020-10-01 05:17:30.212000+00:00,yTusYeoT,lydiablitz,krish_agg11,0,1
2020-10-01 05:17:30.212000+00:00,yTusYeoT,Nefetehli,SergioGentili,0,1
2020-10-01 05:17:30.212000+00:00,yTusYeoT,ankur3291,Don_Johnson,0,1
2020-10-01 05:17:30.212000+00:00,yTusYeoT,senidu,iamssk,0,0
2020-10-01 05:17:30.212000+00:00,yTusYeoT,Pedri_Fati,gurkha-gamefowl,1,0
2020-10-01 05:17:11.718000+00:00,yTusYeoT,razali-ali,Veguettatruchomal,0,1
2020-10-01 05:17:11.718000+00:00,yTusYeoT,AlphaBravo_1,Sisir5678o,0,1
2020-10-01 05:17:11.718000+00:00,yTusYeoT,RodmanMVP,tsocu,1,0
2020-10-01 05:17:11.718000+00:00,yTusYeoT,Istorik1708,capedbaldly,0,1
2020-10-01 05:17:11.718000+00:00,yTusYeoT,EjGarcia,v2d2,0,1
2020-10-01 05:17:11.718000+00:00,yTusYeoT,Davronbekovkamron106,Generalchex11,1,0
2020-10-01 05:17:11.718000+00:00,yTusYeoT,ZINAIZMAGAZINA,A_Upadhyay,0,1
2020-10-01 05:16:47.020000+00:00,yTusYeoT,ElCaosReptante,evgenkuz15051972,0,1
